Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Bonhomme Tielens Fonds,Regionaal vermogensfonds,"Limburg (voorkeur), landelijk mogelijk",Restauratie van kunst en antiek; inmiddels circa 200 projecten gefinancierd.,Niet gepubliceerd,Restauratie van interieur en collectie van het landhuis,Niet gepubliceerd,Zie bonhommetielens.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.bonhommetielens.nl/subsidie-aanvragen/voorwaarden,"NIEUW. Vult het thema INTERIEUR EN COLLECTIE, dat in dit overzicht nog nauwelijks gedekt was."
Stichting Instandhouding Kleine Landschapselementen Limburg (IKL),Regionaal/thematisch fonds,Limburg,"Aanleg, herstel en beheer van kleine landschapselementen.",Grondeigenaren in Limburg,"Hagen, holle wegen, poelen, hoogstamboomgaarden, graften",Niet gepubliceerd,Uitvoeringsorganisatie — werkt vaak met eigen regelingen,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.ikl-limburg.nl/,NIEUW. Limburgse tegenhanger van de SBNL-landschapselementenregeling.
Nutsfonds Zierikzee,Regionaal vermogensfonds,Schouwen-Duiveland (Zeeland),"Kunst, cultuur, gezondheid, sport, natuur en educatie.",Niet gepubliceerd,Natuur- of erfgoedproject op Schouwen-Duiveland,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://nutsfondszierikzee.nl/,NIEUW. Zeeland was ondervertegenwoordigd.
Stichting Renesse,Regionaal vermogensfonds,Schouwen-Duiveland / Renesse (Zeeland),"Recreatie, toerisme, cultuur, educatie en sport; meestal eenmalige bijdragen.",Niet gepubliceerd,Publieksvoorziening of recreatieve ontsluiting van het landgoed,Eenmalig; hoogte niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://stichtingrenesse.nl/financiele-steun,NIEUW.
Molenfonds,Landelijk themafonds,Landelijk,"Behoud, onderhoud en restauratie van molens; werkt ook met crowdfunding.",Moleneigenaren,Molen op het landgoed — een veel voorkomend maar in dit overzicht nog ongedekt object,Niet gepubliceerd,Zie molenfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.molenfonds.nl/,"NIEUW. Vult het thema MOLENS, dat tot nu toe alleen indirect via het Staargaard-fonds gedekt was."
Koninklijke Nederlandse Heidemaatschappij (KNHM) / Kern met Pit,Landelijke stichting/fonds,"Landelijk, per provincie",Advies en prijzengeld voor bewonersinitiatieven die de leefomgeving verbeteren.,Bewonersinitiatieven,Landschapsproject samen met omwonenden,"EUR 1.000 bij realisatie, EUR 3.000 voor de provinciale winnaar",Aanmelden via kernmetpit.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.knhm.nl/,"NIEUW. Klein bedrag, maar levert procesbegeleiding en draagvlak op."
Stimuleringsfonds Samen voor onze Leefomgeving,Landelijk themafonds,Landelijk,Groene vrijwilligersgroepen die de lokale natuur verbeteren.,Vrijwilligersgroepen,Vrijwilligersgroep die meehelpt in het landgoedbeheer,EUR 1.000 per initiatief,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.samenvooronzeleefomgeving.nl/9627/stimuleringsfonds,NIEUW.
DikGroen,Landelijk themafonds,Landelijk,Kleinschalige projecten voor natuurbeleving door kinderen en jongeren tot 25 jaar.,Niet gepubliceerd,"Kindernatuurpad, schoolbezoeken, natuureducatie op het landgoed",EUR 50 - 750,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.dikgroen.nl/,"NIEUW. Zeer klein, maar laagdrempelig."
Gerrit Jeurissen Fonds (voorheen Love & Light),Landelijk vermogensfonds,Landelijk,"Kunst en cultuur, welzijn, sport en natuur/milieu.",Niet gepubliceerd,Breed; natuur is een expliciet werkterrein,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.gerritjeurissenfonds.nl/,NIEUW.
Haella Stichting,Landelijk vermogensfonds,Landelijk,Kleinschalige sociale en milieuprojecten.,Niet gepubliceerd,Klein milieuproject met een sociale component,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.haella.nl/,NIEUW. Stond eerder als NEE in de FIN-sweep op basis van armoede-tags; de milieulijn maakt het toch relevant voor kleine projecten.
Bouwfonds Cultuurfonds (BPD),Landelijk themafonds,Landelijk,"Bouwen, de gebouwde omgeving en de openbare ruimte.",Non-profitorganisaties,Publiek toegankelijke ruimte op of aan het landgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.skbl.nl/erfgoedfondsen/,NIEUW.
BNG Cultuurfonds,Landelijk themafonds,Landelijk,Kunst en cultuur van meerwaarde voor gemeenten; reikt ook een jaarlijkse erfgoedprijs uit.,Niet gepubliceerd,Publieksfunctie van het landgoed met gemeentelijk belang,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.bngbank.nl/cultuurfonds,NIEUW. Stond eerder als MISSCHIEN; nu opgenomen vanwege de erfgoedprijs en gemeentelijke insteek.
Stichting Fonds voor de Geld- en Effectenhandel,Landelijk vermogensfonds,Landelijk,Kleinere culturele activiteiten.,Niet gepubliceerd,Klein publieks- of cultuurproject op het landgoed,EUR 500 - 1.500,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.sfge.nl/,NIEUW. Klein maar laagdrempelig.
Maatschappij van Welstand,Landelijk vermogensfonds,Landelijk,"Protestants-kerkelijk gerelateerde projecten, kerkvernieuwing, sociaal werk en duurzame landbouw.",Niet gepubliceerd,Kerk of kapel op het landgoed; duurzame landbouw met protestantse binding,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.welstand.nl/,NIEUW. Stond eerder als NEE; de kerk-/kapelroute en de landbouwlijn maken het toch bruikbaar bij een specifiek object.
Katalys,Landelijke kennis-/belangenorganisatie,Landelijk,"Vergroening en verduurzaming van buurten, inclusief voedselbossen; biedt gratis expertadvies en leningen voor vastgoedaankoop of renovatie.",Niet gepubliceerd,Voedselbos of gemeenschapsvorming op het landgoed,"Expertise en leningen, geen giften",Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://katalys.nl/,"NIEUW. Vooral een kennis- en leningpartner, geen schenkend fonds."
Stichting Buitenfonds (Staatsbosbeheer),Donatie-instrument (niet aanvraagbaar),Landelijk,Steunstichting van Staatsbosbeheer; financiert natuurprojecten van Staatsbosbeheer via crowdfunding en nalatenschappen.,Niet van toepassing,Niet van toepassing voor een particulier landgoed,Niet gepubliceerd,NIET AANVRAAGBAAR — uitsluitend inkomend,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.buitenfonds.nl/,NIEUW maar NIET AANVRAAGBAAR. Opgenomen om te voorkomen dat het bij een volgende ronde opnieuw wordt onderzocht.
Groen Ontwikkelfonds Brabant,Publiek/hybride (buiten scope fondsen),Noord-Brabant,"Provinciaal fonds voor realisatie van het Natuurnetwerk Brabant: grond, inrichting en functieverandering.",Grondeigenaren in Noord-Brabant,Omzetting van landbouwgrond naar natuur binnen het NNB,Niet gepubliceerd,Zie groenontwikkelfondsbrabant.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.groenontwikkelfondsbrabant.nl/,"NIEUW. Publiek geld, maar voor Brabantse landgoederen met natuurambitie een van de belangrijkste bronnen."
